code A,code B,位置,開始年,,,終了年,,,,ボーリング上面の標高,ボーリング長さ,,N0,E0,,,,深度,標高,,,,,礫,砂,シルト,粘土,wl0,wp,土粒子密度,w,湿潤密度,間隙比,飽和度
O986P576,No.6    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,21,1998,7,28,KP,-15.6,33.34,0,34.6352348,135.2147681,T-11,21,21.8,21.4,-37,T-11,P011,T-11,P011,1,5,31,63,75,28.6,2.669,60.1,1.633,1.618,99
O986P576,No.6    ,神戸市中央区港島中町７丁目，９丁目地,1998,7,21,1998,7,28,KP,-15.6,33.34,0,34.6352348,135.2147681,T-12,23,23.8,23.4,-39,T-12,P012,T-12,P012,0,0,23,77,76.5,28.7,2.685,52.9,1.689,1.43,99.3
O986P577,No.7    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,10,1998,8,12,KP,-15.9,33.35,0,34.6324743,135.2177129,T- 1,1,1.8,1.4,-17.3,T- 1,P001,T- 1,P001,0,4,48,48,89.4,40,2.681,91.4,1.487,2.451,100
O986P577,No.7    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,10,1998,8,12,KP,-15.9,33.35,0,34.6324743,135.2177129,T- 2,3,3.8,3.4,-19.3,T- 2,P002,T- 2,P002,0,0,43,57,90.4,37.8,2.665,82.8,1.508,2.232,98.9
O986P577,No.7    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,10,1998,8,12,KP,-15.9,33.35,0,34.6324743,135.2177129,T- 3,5,5.8,5.4,-21.3,T- 3,P003,T- 3,P003,0,0,45,55,87.7,36.1,2.655,78.7,1.53,2.103,99.4
O986P577,No.7    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,10,1998,8,12,KP,-15.9,33.35,0,34.6324743,135.2177129,T- 4,7,7.8,7.4,-23.3,T- 4,P004,T- 4,P004,0,1,47,52,79.7,34.5,2.661,71.2,1.566,1.909,99.3
O986P577,No.7    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,10,1998,8,12,KP,-15.9,33.35,0,34.6324743,135.2177129,T- 5,9,9.8,9.4,-25.3,T- 5,P005,T- 5,P005,0,0,46,54,80.9,36,2.659,68.3,1.581,1.832,99.1
O986P577,No.7    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,10,1998,8,12,KP,-15.9,33.35,0,34.6324743,135.2177129,T- 6,11,11.8,11.4,-27.3,T- 6,P006,T- 6,P006,0,0,43,57,79.6,35.9,2.662,67.9,1.584,1.82,99.3
O986P577,No.7    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,10,1998,8,12,KP,-15.9,33.35,0,34.6324743,135.2177129,T- 7,13,13.8,13.4,-29.3,T- 7,P007,T- 7,P007,0,3,52,45,70.9,35,2.625,62,1.607,1.646,98.9
O986P577,No.7    ,神戸市中央区港島中町７丁目，９丁目地,1998,8,10,1998,8,12,KP,-15.9,33.35,0,34.6324743,135.2177129,T- 8,15,15.8,15.4,-31.3,T- 8,P008,T- 8,P008,0,0,39,61,78.2,33.4,2.686,63,1.614,1.712,98.9
